"resultNumber","lemma","senseNumber","snippet"
"637","commanditaire vennootschap","1.0","vennootschap met stille vennoten"
"638","commando-eenheid","0.0",""
"639","commandogroep","0.0",""
"640","commandoteam","0.0",""
"641","commandotroepen","0.0",""
"642","commissariaat-generaal","0.0",""
"643","commissie","1.0",""
"644","communicatieapparatuur","1.0",""
"645","compagnie","1.0",""
"646","complex","",""
"647","componistenbond","0.0",""
"648","computerapparatuur","1.0",""
"649","computerbranche","1.0",""
"650","computerclub","1.0","groep computerliefhebbers"
"651","computercriminaliteit","1.0","cybercrime"
"652","computergegevens","1.0",""
"653","computergroep","0.0",""
"654","computerindustrie","1.0","industrie die computers e.d. produceert"
"655","computerindustrie","1.1","geheel van bedrijven die computers e.d. produceren"
"656","computerpersoneel","0.0",""
"657","concernleiding","1.0",""
"658","concertkoor","0.0",""
"659","concertpubliek","0.0",""
"660","concertreeks","0.0",""
"661","concertserie","1.0",""
"662","confectie-industrie","0.0",""
"663","confectiekleding","0.0",""
"664","confiserie","2.0","snoepwaren"
"665","congresbundel","0.0",""
"666","congrescommissie","0.0",""
"667","congresleiding","0.0",""
"668","conserven","1.0","ingemaakt voedsel"
"669","conservenindustrie","0.0",""
"670","consortium","1.0",""
"671","consultatiegroep","0.0",""
"672","consumentenbond","1.0",""
"673","consumentengroep","1.0",""
"674","consumentenvereniging","1.0","belangenvereniging voor consumenten"
"675","consumptiegoederenindustrie","0.0",""
"676","consumptievis","1.0","vis om te eten"
"677","contactcommissie","0.0",""
"678","contactgegevens","0.0",""
"679","contactgroep","1.0",""
"680","containerkunst","1.0",""
